mean,std,skew,kurt,label
0.937093,8.755273,0.128932,3.738354,0
1.103639,9.450079,0.299354,3.851876,0
0.589054,9.245083,0.212825,3.522430,0
0.684065,9.879136,0.262559,4.006395,0
0.861539,10.028207,0.120148,3.824978,0
0.393003,10.585663,0.358941,5.012384,0
0.486538,10.692873,-0.661246,6.888092,0
0.729561,9.783878,0.189834,3.613275,0
0.524838,9.418062,0.025841,3.719842,0
1.098514,9.246503,0.077928,3.586846,0
0.890367,9.868925,0.027760,3.661874,0
1.043360,9.239990,0.270038,3.525994,0
0.694521,10.273421,0.098114,3.436619,0
0.469972,12.031920,-0.460224,13.949670,0
0.681338,9.518305,0.198471,3.533489,0
0.822235,9.499133,0.115853,3.845980,0
0.671168,9.302197,0.118940,3.758884,0
1.254255,9.764001,0.092569,4.285792,0
1.349451,9.802290,0.241000,3.977617,0
1.197830,9.676399,0.194930,4.059751,0
0.455620,11.633358,-0.294894,6.159585,0
1.054083,9.526750,0.352337,3.664974,0
0.943715,9.608890,0.157078,3.983634,0
1.123937,9.532422,0.370091,3.561695,0
0.760951,9.569286,0.105322,3.788610,0
0.755149,9.662156,-0.112123,4.081402,0
0.750023,9.605483,0.130765,3.778425,0
1.440361,11.161707,1.171923,13.105206,0
1.014164,10.596859,-0.286842,5.436529,0
0.780804,9.730725,0.304746,3.609299,0
0.823732,9.092089,0.045679,4.178965,0
0.275828,9.546956,0.152226,4.248571,0
0.322883,9.428882,0.197005,4.387973,0
1.117622,9.432717,0.130252,4.035734,0
0.869986,9.606899,0.355333,4.151732,0
0.872385,9.404870,0.475412,4.162570,0
0.598608,12.335216,-0.760368,11.261788,0
1.264670,9.673448,0.122897,3.945660,0
0.343611,9.489049,0.318407,3.971771,0
0.148996,9.776519,0.171014,3.998298,0
0.630859,9.264875,0.284947,3.889711,0
1.170397,9.812093,0.593439,3.851040,0
0.814915,9.774390,0.242449,3.680770,0
1.131688,11.786330,0.031537,8.190906,0
0.037091,10.765418,-0.359276,8.347603,0
0.372623,9.464339,0.128508,4.019055,0
1.128940,9.401700,0.288950,3.930975,0
0.155598,9.293223,-0.079682,3.962380,0
0.230598,9.690734,-0.008028,3.768637,0
1.022591,9.565433,0.284523,3.897742,0
0.558647,10.086772,-0.071753,4.016281,0
0.406945,11.034295,0.315277,5.134857,0
0.682322,9.464651,0.120775,3.636922,0
0.583907,9.443260,-0.312053,4.055971,0
0.847167,9.872411,0.263471,4.260631,0
1.008546,9.389519,0.326318,3.559870,0
0.679636,9.497833,0.373929,4.058432,0
-0.167181,9.446267,-0.060320,3.323283,0
1.394885,10.780469,0.494028,5.045128,0
0.974378,9.789058,0.124405,3.558511,0
0.660691,9.425526,0.403093,3.915521,0
0.557561,10.120031,0.033721,3.702113,0
-0.079777,10.419924,0.315620,4.744988,0
0.078958,9.222451,0.058170,4.332122,0
0.157423,9.462228,0.007600,3.720037,0
-0.068377,9.061210,-0.028742,3.623712,0
0.589956,9.675219,0.241686,4.349936,0
0.569268,9.403584,0.395466,3.660061,0
0.616323,9.702361,0.071302,3.943402,0
0.008878,11.908466,-0.000370,5.053132,0
0.306706,9.491826,0.110363,4.213235,0
0.569043,9.244191,0.068124,3.824017,0
