mean,std,skew,kurt,label
-2.649016,9.287595,0.212230,3.949654,1
-2.767933,9.900840,0.181028,4.184224,1
-3.277886,9.156229,-0.109110,5.383041,1
-2.921481,9.057048,0.042820,4.503791,1
-2.924741,9.311166,-0.071712,4.016820,1
-3.267511,9.345635,0.347319,4.975657,1
-2.490547,9.073471,0.459210,4.497541,1
-3.034617,8.771432,0.174136,4.703657,1
-2.986496,9.754821,0.408651,3.915722,1
-3.138567,9.358935,-0.190886,4.662933,1
-3.586067,9.823320,0.115746,3.749807,1
-3.107628,8.854831,0.076684,3.871908,1
-3.378228,9.218772,0.046661,3.995653,1
-3.290536,9.895858,-0.002720,3.775427,1
-2.989366,9.253628,0.193432,4.026295,1
-3.231815,9.096421,0.194805,4.206753,1
-2.922362,8.278332,0.019134,4.660192,1
-3.126183,9.745076,0.208553,4.318681,1
-3.139018,9.559137,0.362726,3.915753,1
-3.180291,9.625740,0.004206,4.110295,1
-2.911373,10.031319,0.407622,4.417562,1
-2.907375,9.628807,0.231612,4.177838,1
-3.361989,9.341142,0.233398,4.066528,1
-2.889414,9.284778,-0.034292,3.830560,1
-3.240837,9.361653,-0.004054,4.388460,1
-2.970688,9.355034,0.046487,3.927779,1
-3.059528,8.763951,0.091604,4.512366,1
-3.303227,9.380423,-0.116724,3.560814,1
-2.819601,9.699822,0.151650,4.026475,1
-2.608709,9.854869,0.191987,3.427797,1
-0.923867,9.536010,0.312792,3.779294,1
-0.962987,9.833233,0.323954,3.815757,1
-1.061423,9.672765,0.068005,4.280360,1
-1.461417,9.563535,0.079672,4.374049,1
-1.456106,9.540758,0.077109,4.236920,1
-1.142471,9.248075,0.099298,4.444230,1
-1.221572,9.339324,0.351802,4.234210,1
-0.867259,9.186692,0.310746,4.522334,1
-0.875337,8.744233,0.177883,4.499689,1
-1.269590,9.305743,0.261298,3.754572,1
-1.304835,9.231841,-0.131246,4.322964,1
-1.281215,9.526816,-0.013279,3.865609,1
-1.218230,9.090804,-0.070228,4.421117,1
-0.897624,9.330950,0.428885,3.850298,1
-1.433717,9.170330,0.322143,3.947676,1
-1.246053,9.039195,0.245464,4.280844,1
-1.172590,9.031859,0.124762,3.999213,1
-0.744486,8.983911,-0.075903,4.357702,1
-1.252204,9.205608,0.270033,3.677511,1
-1.014306,9.806519,0.261934,4.175999,1
-0.611995,9.084573,0.258361,3.924009,1
-1.409544,9.455570,-0.112579,4.209788,1
-0.988514,9.302317,0.037996,4.030116,1
-0.909372,9.488498,0.043659,4.228276,1
-0.174276,9.232831,0.448739,3.747502,1
-1.142758,9.229437,0.196053,3.899283,1
-1.331694,9.272421,0.039442,4.035835,1
-1.143742,9.395869,0.445645,3.981846,1
-1.378769,8.892121,-0.015470,4.182241,1
-1.314482,9.017546,0.334138,4.413327,1
-1.168161,9.144138,-0.022267,3.878127,1
-0.069587,9.266339,0.242738,4.232945,1
-0.529040,8.990775,0.074774,4.534993,1
-0.357655,8.935502,0.162672,4.418160,1
-0.245524,9.458973,-0.031198,4.645047,1
-0.461503,9.087273,-0.006969,4.253788,1
-0.173332,9.431307,0.041393,4.637172,1
-0.247758,9.169187,0.056093,4.490220,1
-0.414407,8.943911,0.140866,3.858629,1
-0.423408,9.096000,0.212993,4.095742,1
-0.120434,9.091479,0.220482,4.904980,1
0.279478,9.294580,0.337638,4.168779,1
-0.549318,8.896846,-0.189347,4.195248,1
-0.176080,9.256406,0.116987,4.360847,1
-0.839579,9.630190,0.293678,3.999545,1
-0.884748,8.921993,-0.209302,5.164266,1
-0.671536,9.077383,0.406686,4.400430,1
-0.563014,9.207818,0.242686,3.945380,1
-0.440713,9.171011,0.110377,4.234847,1
-0.437924,9.291642,0.026937,3.846119,1
0.220613,9.122395,0.263247,4.076162,1
-0.237240,9.174734,0.188859,3.997607,1
-0.343057,9.059815,0.022944,4.299684,1
-0.114079,8.946999,0.523946,4.703896,1
-0.722794,9.226878,0.117205,3.559280,1
-0.091710,9.318358,0.267897,3.666680,1
-0.393105,9.070529,-0.199904,4.374766,1
-0.611852,9.102365,0.088470,4.457055,1
-0.319007,9.417123,0.098025,4.061886,1
0.276714,9.142406,0.582347,4.465659,1
-3.168953,9.352595,0.200582,3.722092,1
-2.835101,9.372172,0.117030,3.785161,1
-3.192183,9.247645,0.053291,4.730343,1
-3.163150,9.197091,0.014204,4.309174,1
-3.481973,9.263195,-0.079114,4.227093,1
-2.882874,9.027435,0.366642,4.822412,1
-3.158086,9.567414,0.149818,4.697289,1
