mean,std,skew,kurt,label
0.652080,9.433914,-0.070187,4.322212,2
0.645457,9.568664,0.153360,3.693784,2
1.554625,9.468979,0.154546,4.225743,2
1.448870,8.202074,0.460035,4.410290,2
1.148418,9.654853,0.107839,4.212393,2
1.428203,9.059352,0.388470,5.150565,2
2.489913,9.695916,0.453130,3.242859,2
1.225817,9.293037,0.054945,3.981175,2
1.388570,9.257519,0.244892,4.082679,2
0.992205,9.568631,0.227492,3.988783,2
1.099231,9.608986,0.027711,3.622056,2
1.646930,9.472741,-0.021598,3.642214,2
1.138823,9.449806,0.094695,4.461623,2
1.256408,8.936943,0.019341,3.673653,2
1.347380,8.551467,0.227204,3.732842,2
0.163738,8.693675,-0.190388,4.975636,2
0.986321,10.176824,-0.253394,3.788280,2
0.908512,10.988133,0.363135,3.476568,2
1.974712,9.316649,0.261870,3.923287,2
1.330301,9.306237,0.068532,4.390173,2
0.964772,9.665166,-0.212569,4.118233,2
0.954767,8.881083,0.268701,4.032195,2
1.419735,9.377839,0.113334,3.721810,2
1.731402,9.481686,0.035254,3.892965,2
1.551119,8.983460,0.252704,4.353564,2
1.495432,8.937367,0.296094,4.386332,2
1.155840,8.826863,0.144289,4.270629,2
0.985193,9.358545,0.331722,4.179073,2
0.750802,9.483100,-0.008321,3.932531,2
1.525383,9.356869,0.003948,4.886301,2
2.256978,9.468315,0.100910,4.461877,2
2.427174,9.826951,0.109769,4.150711,2
1.962636,9.306408,0.026905,3.789672,2
1.747169,9.301422,0.000970,5.092427,2
1.760783,8.965889,0.139899,4.579736,2
2.671098,9.101109,0.089017,4.403738,2
2.780216,9.483612,0.242241,4.350450,2
2.409951,9.096699,0.229954,4.080179,2
1.820693,9.370720,0.038454,4.533124,2
1.872361,9.320508,0.129244,3.786999,2
2.554395,9.421189,0.098883,3.956872,2
2.548265,9.162303,0.016435,4.047675,2
2.916828,9.441650,0.365830,4.311264,2
2.543939,9.241924,0.214111,4.464350,2
2.279490,9.734768,0.363077,4.704060,2
2.043008,9.117260,-0.030902,4.759331,2
1.778867,9.372990,-0.203942,4.626935,2
2.425062,9.441027,0.086457,4.148507,2
2.069026,9.346855,0.188347,3.685089,2
3.194521,9.669687,0.243991,4.091318,2
2.509883,9.473675,0.116859,4.643610,2
1.362860,9.615709,0.288311,5.007802,2
2.342106,9.794225,0.293503,4.723122,2
2.300342,9.319691,0.192998,5.022215,2
2.041101,9.271892,0.197367,4.617649,2
2.287548,9.490185,0.007497,4.452451,2
1.791968,9.098946,0.127206,4.560983,2
2.918058,9.438478,0.096082,4.018352,2
2.281766,9.364438,0.170189,4.087814,2
2.367701,9.159951,0.114491,4.585336,2
2.256978,9.468315,0.100910,4.461877,2
2.427174,9.826951,0.109769,4.150711,2
1.962636,9.306408,0.026905,3.789672,2
1.747169,9.301422,0.000970,5.092427,2
1.760783,8.965889,0.139899,4.579736,2
2.671098,9.101109,0.089017,4.403738,2
2.780216,9.483612,0.242241,4.350450,2
2.409951,9.096699,0.229954,4.080179,2
1.820693,9.370720,0.038454,4.533124,2
1.872361,9.320508,0.129244,3.786999,2
2.554395,9.421189,0.098883,3.956872,2
2.548265,9.162303,0.016435,4.047675,2
2.916828,9.441650,0.365830,4.311264,2
2.543939,9.241924,0.214111,4.464350,2
2.279490,9.734768,0.363077,4.704060,2
2.043008,9.117260,-0.030902,4.759331,2
1.778867,9.372990,-0.203942,4.626935,2
2.425062,9.441027,0.086457,4.148507,2
2.069026,9.346855,0.188347,3.685089,2
3.194521,9.669687,0.243991,4.091318,2
2.509883,9.473675,0.116859,4.643610,2
1.362860,9.615709,0.288311,5.007802,2
2.342106,9.794225,0.293503,4.723122,2
2.300342,9.319691,0.192998,5.022215,2
2.041101,9.271892,0.197367,4.617649,2
2.287548,9.490185,0.007497,4.452451,2
1.791968,9.098946,0.127206,4.560983,2
2.918058,9.438478,0.096082,4.018352,2
2.281766,9.364438,0.170189,4.087814,2
2.367701,9.159951,0.114491,4.585336,2
2.873792,9.580391,0.062043,3.974464,2
2.745771,8.948065,0.294996,4.620671,2
2.601347,9.086373,0.241234,4.765271,2
2.277501,8.927038,-0.079084,3.802344,2
1.931245,9.649463,0.023850,4.085045,2
2.407081,9.421835,0.144115,4.282969,2
2.888718,9.588139,0.285089,4.331723,2
2.737159,9.332430,0.144789,4.626035,2
2.588881,9.623348,0.192320,4.540190,2
2.261181,9.152077,0.125511,4.283805,2
2.650493,9.483618,0.077804,4.255391,2
2.447185,9.054436,-0.080257,4.837956,2
2.747329,9.180974,0.131218,4.454623,2
2.754936,9.439440,0.215181,4.522396,2
2.703965,9.452134,-0.008441,4.252174,2
2.446795,9.351341,0.296894,4.306367,2
2.153171,9.155714,0.221533,4.407889,2
2.723750,9.351557,0.043317,4.427179,2
2.524215,8.753696,0.291495,4.321989,2
3.128686,9.544865,0.284611,4.240711,2
2.638950,8.962880,-0.079249,4.311410,2
2.465186,9.662867,0.246805,4.634857,2
2.681596,9.316226,0.331678,4.389708,2
2.243917,9.610428,0.076727,4.254992,2
2.566123,9.114279,0.274790,4.570122,2
3.529664,9.328934,0.036082,4.673440,2
3.395185,9.333483,0.306384,4.916155,2
2.850521,9.165613,0.107773,3.776441,2
2.063880,9.715620,0.244290,3.910038,2
1.595377,8.925219,0.219539,4.432597,2
2.163566,9.073849,0.159655,4.144654,2
2.696317,9.733448,0.133401,4.431699,2
2.440090,9.051388,0.148496,4.478718,2
3.134119,8.884037,0.174738,4.217901,2
2.951129,9.346630,0.069199,4.117207,2
3.467683,9.567548,0.378703,3.700845,2
1.917631,9.674447,-0.091158,3.940819,2
2.444212,9.556060,0.097941,4.472630,2
2.614408,9.488851,0.075195,4.140339,2
3.000542,9.079639,0.209217,3.981432,2
2.885991,9.446633,-0.007040,4.162563,2
2.540925,9.121307,0.332743,4.115067,2
3.170205,9.364196,0.159394,4.961731,2
2.481138,9.348849,0.077501,3.815135,2
2.992853,9.288796,0.094918,4.359627,2
2.375711,9.546013,0.086627,3.714025,2
2.599604,9.480865,0.291184,4.166157,2
2.769636,9.357915,0.308101,3.945979,2
3.195198,9.400970,0.162136,3.830432,2
2.744335,9.237378,0.436135,4.794092,2
2.879512,9.654955,0.349046,3.991438,2
2.348360,9.262615,0.015963,3.565309,2
2.403534,8.933140,0.074330,4.519597,2
3.351595,9.339243,0.253211,4.697554,2
