mean,std,skew,kurt,label
0.119123,8.890409,0.18662,4.546881,1
0.900637,9.082481,0.293378,5.32709,2
0.810671,9.004231,0.246429,3.793836,1
0.744733,12.300227,-0.788632,10.991842,0
0.261025,9.544452,0.085206,4.208076,2
-2.490301,10.738343,-1.29576,23.160893,1
2.065664,9.14833,0.152869,3.923521,2
-0.677564,9.081159,0.322171,4.425342,1
2.416594,9.476101,-0.140261,4.969154,2
1.270452,9.293234,0.006384,2.981487,0
1.19783,9.676399,0.19493,4.059751,0
1.678504,10.799062,0.378317,3.993101,2
-0.087363,8.871665,0.146835,4.403783,2
1.562354,8.909608,0.203916,4.031944,1
0.141636,9.33866,0.142832,3.913884,0
0.694521,10.273421,0.098114,3.436619,0
1.465006,9.724006,0.30955,3.764067,2
0.754727,9.329539,0.568515,4.480042,2
0.262337,9.875235,0.249079,3.649924,2
0.871791,9.29615,0.378694,4.270121,2
0.19726,9.461024,-0.053574,3.810073,2
2.776238,9.190789,-0.06397,4.068177,1
3.494501,9.524813,0.082287,4.697372,2
2.798935,9.825821,0.782674,7.611904,2
1.525383,9.356869,0.003948,4.886301,2
3.557815,9.256063,0.352156,3.207129,1
0.137781,9.253742,0.00835,3.459157,2
3.473588,8.980257,0.090679,2.65575,1
2.823026,11.383631,3.044146,56.700974,2
-1.028691,10.863285,0.366836,4.146811,1
3.378721,10.685806,-1.741626,43.10063,2
1.927903,8.770062,0.227395,3.795481,2
2.075403,9.229956,0.029393,4.164168,2
1.12894,9.4017,0.28895,3.930975,0
-2.608709,9.854869,0.191987,3.427797,1
0.144383,9.385465,0.366746,4.816625,2
-2.610716,8.756132,0.21418,3.561864,1
0.519507,9.728823,-0.032112,3.902672,2
-1.443251,9.11244,0.488624,4.957932,1
2.536906,9.797705,0.075264,3.462278,2
2.309014,9.331301,0.312651,4.650444,2
1.231291,9.076373,0.183365,4.676082,2
1.741633,8.917518,0.286162,3.746228,2
-0.968052,10.815781,1.447389,31.877367,2
1.14036,8.87368,0.10506,4.063705,0
-0.262439,9.241259,0.275305,3.789894,1
1.442986,9.813818,0.991419,15.053764,2
-1.547735,9.532942,0.207056,4.014099,1
1.438905,10.326812,2.321178,30.608766,2
1.382994,8.934741,0.214309,3.593163,1
1.5699,9.225628,0.249912,4.746478,2
3.021516,9.538418,0.277238,3.143817,2
1.531149,9.004514,0.062518,3.809855,2
2.367448,9.613359,0.335531,4.024442,2
1.915274,9.05321,0.15175,3.264765,2
1.170397,9.812093,0.593439,3.85104,0
1.489856,8.783643,-0.092126,4.431264,2
3.386676,8.169732,0.437725,4.571536,2
1.666653,8.996802,0.093114,4.171397,2
-1.198239,9.1662,0.160924,4.799637,1
0.268017,9.047524,0.37556,3.74686,1
1.492008,8.876754,0.105023,3.713175,1
-0.996018,9.096245,0.111422,3.623187,1
1.415101,9.025055,0.45506,3.878043,0
3.323239,9.889799,0.200713,3.94748,2
0.37943,10.074289,0.299684,3.954262,2
3.623835,10.588051,-0.973889,16.002171,2
-0.871564,11.115712,-2.26366,35.278927,1
2.342106,9.794225,0.293503,4.723122,2
1.426973,9.921223,0.05557,4.416857,2
3.535692,9.949601,0.261421,3.774631,2
0.862318,8.964358,0.263875,4.578287,2
1.632557,9.323212,0.561239,4.339181,2
0.940189,10.663793,-1.909349,30.847082,2
0.587065,9.8056,0.256535,4.241487,0
3.504897,9.462184,0.119558,3.78865,2
0.332806,9.282574,0.193382,3.954602,2
-0.493303,8.922982,0.139564,4.286164,1
2.535266,9.05257,-0.147717,4.44872,2
3.364812,10.27487,-0.018,6.278434,2
-1.485672,9.413166,0.079815,3.648561,2
0.393003,10.585663,0.358941,5.012384,0
-2.819601,9.699822,0.15165,4.026475,1
1.569817,9.24424,-0.27078,4.394404,2
1.443334,9.903404,0.251914,4.144096,2
-0.009759,11.061376,0.219791,6.629882,0
1.33803,10.775732,-0.279152,15.389674,2
1.589705,9.613286,0.333448,3.469762,2
0.460684,10.32446,0.846046,19.313405,2
-1.419857,9.272793,0.221201,4.284412,1
0.306706,9.491826,0.110363,4.213235,0
0.721995,9.139202,0.016058,4.616728,2
-2.625929,10.3202,0.318766,7.103998,1
1.551119,8.98346,0.252704,4.353564,2
-0.577017,9.926749,0.128198,3.134928,2
1.037066,9.672189,0.071575,4.727602,2
1.73458,8.616585,-0.035232,5.635329,2
0.32807,9.05718,0.107755,4.30975,2
-0.439954,8.801064,0.334746,3.700332,1
2.409951,9.096699,0.229954,4.080179,2
2.489913,9.695916,0.45313,3.242859,2
1.030259,9.542233,0.274796,4.399312,0
2.650493,9.483618,0.077804,4.255391,2
0.545939,8.975253,0.422539,3.448436,1
2.933333,9.105921,-0.249101,2.652255,1
-2.428075,9.703659,0.42813,3.529323,1
0.779609,8.408453,-0.073003,3.764015,0
1.811795,8.952173,0.243949,3.857512,1
1.917631,9.674447,-0.091158,3.940819,2
-0.371802,8.814956,0.387186,4.776639,1
3.068304,9.487547,-0.024523,3.867705,2
